movieId,title,avg_rating,num_ratings,rating_std,genres,genre_vec,popularity,movie_idx
1,Toy Story (1995),3.9208,5076,0.9011,Adventure|Animation|Children|Comedy|Fantasy,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.7427191570319416,0
2,Jumanji (1995),3.2773,2182,0.9476,Adventure|Children|Fantasy,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.31918630177077134,1
3,Grumpier Old Men (1995),3.1335,1315,1.0028,Comedy|Romance,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.19230206351526527,2
4,Waiting to Exhale (1995),2.8899,268,1.0139,Comedy|Drama|Romance,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.03907507683301052,3
5,Father of the Bride Part II (1995),3.064,1242,0.981,Comedy,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.18161861554219497,4
6,Heat (1995),3.8127,2515,0.8759,Action|Crime|Thriller,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.36792038636025637,5
7,Sabrina (1995),3.3267,1301,0.9637,Comedy|Romance,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.1902531830820737,6
8,Tom and Huck (1995),3.1174,149,1.0482,Adventure|Children,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02165959315088224,7
9,Sudden Death (1995),2.9405,395,0.9631,Action,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05766134933410542,8
10,GoldenEye (1995),3.4257,2874,0.8656,Action|Adventure|Thriller,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.4204595346113829,9
11,"American President, The (1995)",3.6727,1812,0.8837,Comedy|Drama|Romance,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.26503731889356574,10
12,Dracula: Dead and Loving It (1995),2.6168,398,1.1646,Comedy|Horror,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.0581003951412179,11
13,Balto (1995),3.2435,154,0.8795,Adventure|Animation|Children,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.022391336162736367,12
14,Nixon (1995),3.4107,616,0.9377,Drama,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.09000439045805794,13
15,Cutthroat Island (1995),2.7833,293,1.15,Action|Adventure|Romance,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.04273379189228117,14
16,Casino (1995),3.8129,1740,0.8521,Crime|Drama,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.2545002195228663,15
17,Sense and Sensibility (1995),3.9691,2073,0.9466,Drama|Romance,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.3032343041123513,16
18,Four Rooms (1995),3.3867,525,1.0277,Comedy,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.07668666764231279,17
19,Ace Ventura: When Nature Calls (1995),2.6297,2105,1.161,Comedy,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.30791745938821774,18
20,Money Train (1995),2.8082,417,0.9561,Action|Comedy|Crime|Drama|Thriller,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.06088101858626359,19
21,Get Shorty (1995),3.5869,2394,0.9052,Comedy|Crime|Thriller,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.35021220547338644,20
22,Copycat (1995),3.3091,1006,0.9328,Crime|Drama|Horror|Mystery|Thriller,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.14708034538268006,21
23,Assassins (1995),3.1905,420,0.9578,Action|Crime|Thriller,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.06132006439337607,22
24,Powder (1995),3.1697,772,1.066,Drama|Sci-Fi,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0.1128347724279068,23
25,Leaving Las Vegas (1995),3.6792,2151,1.0178,Drama|Romance,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.31464949509727574,24
26,Othello (1995),3.6339,280,0.9146,Drama,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.040831260061460435,25
27,Now and Then (1995),3.4444,162,0.8854,Children|Drama,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.023562124981702976,26
28,Persuasion (1995),4.1038,318,0.919,Drama|Romance,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.04639250695155182,27
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3.9651,816,0.9441,Adventure|Drama|Fantasy|Mystery|Sci-Fi,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0.11927411093222313,28
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.6955,133,0.9515,Crime|Drama,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.019318015512949024,29
31,Dangerous Minds (1995),3.194,964,0.946,Drama,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.14093370408310538,30
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.8951,4526,0.8593,Mystery|Sci-Fi|Thriller,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.6622274257279873,31
33,Wings of Courage (1995),3.7,5,0.4,Adventure|Romance|IMAX,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",0.0005853944094833038,32
34,Babe (1995),3.6357,3251,1.077,Children|Drama,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.47563295770518427,33
35,Carrington (1995),3.4654,159,0.9601,Drama|Romance,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.023123079174590496,34
36,Dead Man Walking (1995),3.9215,2146,0.9084,Crime|Drama,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.3139177520854216,35
37,Across the Sea of Time (1995),2.875,12,1.0026,Documentary|IMAX,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.0016098346260790852,36
38,It Takes Two (1995),2.6842,57,1.1028,Children|Comedy,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.008195521732766253,37
39,Clueless (1995),3.4153,2663,0.9693,Comedy|Romance,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.38957997951113865,38
40,"Cry, the Beloved Country (1995)",3.6165,103,0.9684,Drama,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.014927557441824245,39
41,Richard III (1995),3.8479,457,0.9097,Drama|War,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.06673496268109662,40
42,Dead Presidents (1995),3.03,250,1.004,Action|Crime|Drama,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.036440801990335656,41
43,Restoration (1995),3.4412,272,0.8882,Drama,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.039660471242493826,42
44,Mortal Kombat (1995),2.6369,1063,1.1227,Action|Adventure|Fantasy,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.15542221571781714,43
45,To Die For (1995),3.4165,928,0.9307,Comedy|Drama|Thriller,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.13566515439775564,44
46,How to Make an American Quilt (1995),3.3537,311,0.9414,Drama|Romance,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.04536806673495604,45
47,Seven (a.k.a. Se7en) (1995),4.0471,4372,0.8649,Mystery|Thriller,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.6396897409628801,46
48,Pocahontas (1995),2.9208,1276,1.0855,Animation|Children|Drama|Musical|Romance,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0.18659446802280305,47
49,When Night Is Falling (1995),3.4375,16,1.1163,Drama|Romance,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.002195229035562389,48
50,"Usual Suspects, The (1995)",4.3291,4857,0.7642,Crime|Mystery|Thriller,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.7106688131127307,49
52,Mighty Aphrodite (1995),3.5432,950,0.9126,Comedy|Drama|Romance,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.1388848236499138,50
53,Lamerica (1994),3.8636,22,0.9315,Adventure|Drama,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0030733206497873446,51
