movie_idx,movieId,title,genres,avg_rating,popularity
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9208,0.7427191570319416
1,2,Jumanji (1995),Adventure|Children|Fantasy,3.2773,0.3191863017707713
2,3,Grumpier Old Men (1995),Comedy|Romance,3.1335,0.1923020635152652
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.8899,0.0390750768330105
4,5,Father of the Bride Part II (1995),Comedy,3.064,0.1816186155421949
5,6,Heat (1995),Action|Crime|Thriller,3.8127,0.3679203863602563
6,7,Sabrina (1995),Comedy|Romance,3.3267,0.1902531830820737
7,8,Tom and Huck (1995),Adventure|Children,3.1174,0.0216595931508822
8,9,Sudden Death (1995),Action,2.9405,0.0576613493341054
9,10,GoldenEye (1995),Action|Adventure|Thriller,3.4257,0.4204595346113829
10,11,"American President, The (1995)",Comedy|Drama|Romance,3.6727,0.2650373188935657
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.6168,0.0581003951412179
12,13,Balto (1995),Adventure|Animation|Children,3.2435,0.0223913361627363
13,14,Nixon (1995),Drama,3.4107,0.0900043904580579
14,15,Cutthroat Island (1995),Action|Adventure|Romance,2.7833,0.0427337918922811
15,16,Casino (1995),Crime|Drama,3.8129,0.2545002195228663
16,17,Sense and Sensibility (1995),Drama|Romance,3.9691,0.3032343041123513
17,18,Four Rooms (1995),Comedy,3.3867,0.0766866676423127
18,19,Ace Ventura: When Nature Calls (1995),Comedy,2.6297,0.3079174593882177
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.8082,0.0608810185862635
20,21,Get Shorty (1995),Comedy|Crime|Thriller,3.5869,0.3502122054733864
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.3091,0.14708034538268
22,23,Assassins (1995),Action|Crime|Thriller,3.1905,0.061320064393376
23,24,Powder (1995),Drama|Sci-Fi,3.1697,0.1128347724279068
24,25,Leaving Las Vegas (1995),Drama|Romance,3.6792,0.3146494950972757
25,26,Othello (1995),Drama,3.6339,0.0408312600614604
26,27,Now and Then (1995),Children|Drama,3.4444,0.0235621249817029
27,28,Persuasion (1995),Drama|Romance,4.1038,0.0463925069515518
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.9651,0.1192741109322231
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.6955,0.019318015512949
30,31,Dangerous Minds (1995),Drama,3.194,0.1409337040831053
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.8951,0.6622274257279873
32,33,Wings of Courage (1995),Adventure|Romance|IMAX,3.7,0.0005853944094833
33,34,Babe (1995),Children|Drama,3.6357,0.4756329577051842
34,35,Carrington (1995),Drama|Romance,3.4654,0.0231230791745904
35,36,Dead Man Walking (1995),Crime|Drama,3.9215,0.3139177520854216
36,37,Across the Sea of Time (1995),Documentary|IMAX,2.875,0.001609834626079
37,38,It Takes Two (1995),Children|Comedy,2.6842,0.0081955217327662
38,39,Clueless (1995),Comedy|Romance,3.4153,0.3895799795111386
39,40,"Cry, the Beloved Country (1995)",Drama,3.6165,0.0149275574418242
40,41,Richard III (1995),Drama|War,3.8479,0.0667349626810966
41,42,Dead Presidents (1995),Action|Crime|Drama,3.03,0.0364408019903356
42,43,Restoration (1995),Drama,3.4412,0.0396604712424938
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.6369,0.1554222157178171
44,45,To Die For (1995),Comedy|Drama|Thriller,3.4165,0.1356651543977556
45,46,How to Make an American Quilt (1995),Drama|Romance,3.3537,0.045368066734956
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.0471,0.6396897409628801
47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9208,0.186594468022803
48,49,When Night Is Falling (1995),Drama|Romance,3.4375,0.0021952290355623
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.3291,0.7106688131127307
50,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.5432,0.1388848236499138
51,53,Lamerica (1994),Adventure|Drama,3.8636,0.0030733206497873
52,54,"Big Green, The (1995)",Children|Comedy,3.0253,0.0143421630323409
53,55,Georgia (1995),Drama,3.2283,0.0133177228157451
54,56,Kids of the Round Table (1995),Adventure|Children|Fantasy,2.2222,0.0011707888189666
55,57,Home for the Holidays (1995),Drama,3.3264,0.035270013171369
56,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3.9947,0.1668374067027415
57,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,3.2812,0.0021952290355623
58,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.1056,0.0864920240011581
59,61,Eye for an Eye (1996),Drama|Thriller,3.2873,0.0332211327381774
60,62,Mr. Holland's Opus (1995),Drama,3.7183,0.2918191131274269
61,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2.9789,0.0310259037026151
62,64,Two if by Sea (1996),Comedy|Romance,2.9467,0.0286843260646818
63,65,Bio-Dome (1996),Comedy,2.3747,0.0711254207522214
64,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.205,0.0348309673642565
65,67,Two Bits (1995),Drama,3.4706,0.0023415776379332
